,Unnamed: 0,puzzle_name,puzzle_index,round_index,model_name,log_file_name,abduction_correctness,inductive_count,effective_induction_count,final_assumption_correctness,deduction_plan_correctness_count,total_action_count,steps_to_correct_rule,puzzle_start_time,puzzle_end_time,time_used,puzzle_note
250,250,Function_operator_puzzles,3,1,Human,log_human_test,0,1,1,1,2,2,1,46:09.3,48:56.7,0 days 00:02:47.463570,
251,251,Function_operator_puzzles,3,4,Human,log_human_test,0,2,1,1,2,3,1,48:56.8,49:45.3,0 days 00:00:48.541966,
252,252,Function_operator_puzzles,4,2,Human,log_human_test,1,0,0,1,1,1,0,49:45.3,49:54.9,0 days 00:00:09.614652,
253,253,Function_operator_puzzles,4,5,Human,log_human_test,0,2,0,0,0,3,9999,49:55.0,50:11.7,0 days 00:00:16.767914,
254,254,Function_operator_puzzles,5,3,Human,log_human_test,0,1,1,1,1,2,1,50:11.7,50:26.7,0 days 00:00:14.987802,
255,255,Function_operator_puzzles,7,1,Human,log_human_test,0,0,0,0,1,1,9999,50:26.8,50:36.9,0 days 00:00:10.196035,
256,256,Function_operator_puzzles,7,4,Human,log_human_test,0,3,3,1,5,5,2,50:37.0,57:15.6,0 days 00:06:38.645909,
257,257,Function_operator_puzzles,8,2,Human,log_human_test,0,4,4,1,5,5,2,57:15.6,57:57.2,0 days 00:00:41.529628,
258,258,Function_operator_puzzles,8,5,Human,log_human_test,0,7,0,0,0,8,1,50:14.7,51:06.3,0 days 00:00:51.550227,
259,259,Function_operator_puzzles,11,3,Human,log_human_test,0,3,3,0,4,4,9999,51:06.3,51:49.3,0 days 00:00:43.043030,
260,260,Function_operator_puzzles,13,1,Human,log_human_test,0,0,0,0,1,1,9999,51:49.3,51:58.5,0 days 00:00:09.155873,
261,261,Function_operator_puzzles,13,4,Human,log_human_test,0,4,4,0,5,5,9999,52:06.6,53:03.1,0 days 00:00:56.531553,
262,262,Function_operator_puzzles,15,2,Human,log_human_test,0,2,0,0,0,3,9999,53:03.1,53:19.3,0 days 00:00:16.174584,
263,263,Function_operator_puzzles,15,5,Human,log_human_test,0,4,4,0,4,5,9999,53:19.3,53:59.8,0 days 00:00:40.493662,
264,264,Function_operator_puzzles,16,3,Human,log_human_test,0,1,1,0,2,2,9999,53:59.8,54:15.2,0 days 00:00:15.351114,
265,265,Function_operator_puzzles,17,1,Human,log_human_test,0,1,1,0,2,2,9999,54:15.2,54:56.7,0 days 00:00:41.513976,
266,266,Function_operator_puzzles,17,4,Human,log_human_test,0,1,0,0,0,2,9999,54:56.7,55:20.8,0 days 00:00:24.074475,
267,267,Art_gallery_puzzles,1,2,Human,log_human_test,0,2,0,0,0,3,9999,55:20.8,55:50.4,0 days 00:00:29.599447,
268,268,Art_gallery_puzzles,1,5,Human,log_human_test,0,2,0,1,0,3,1,55:50.4,56:24.1,0 days 00:00:33.621783,
269,269,Art_gallery_puzzles,2,3,Human,log_human_test,0,4,0,0,0,5,9999,56:24.1,56:55.9,0 days 00:00:31.794730,
270,270,Art_gallery_puzzles,4,1,Human,log_human_test,0,3,0,0,0,4,9999,56:55.9,57:33.1,0 days 00:00:37.168301,
